Round,Round,Pk,Player,College,Yrs,Totals_G,Totals_MP,Totals_PTS,Totals_TRB,Totals_AST,Shooting_FG%,Shooting_3P%,Shooting_FT%,Per Game_MP,Per Game_PTS,Per Game_TRB,Per Game_AST,Advanced_WS,Advanced_WS/48,Advanced_BPM,Advanced_VORP,Year,Group
7,7,8.0,Ron Harper,Miami University,15,1009,31199,13910,4309,3916,.446,.289,.720,30.9,13.8,4.3,3.9,65.8,.101,1.9,30.3,1986,1
7,7,9.0,Brad Sellers,Ohio State,6,398,7154,2509,1064,435,.452,.200,.793,18.0,6.3,2.7,1.1,9.8,.066,-2.2,-0.4,1986,1
7,7,10.0,Johnny Dawkins,Duke,9,541,14859,5984,1336,2997,.456,.330,.857,27.5,11.1,2.5,5.5,21.8,.070,-0.9,4.2,1986,1
7,7,11.0,John Salley,Georgia Tech,11,748,16524,5228,3356,916,.506,.214,.714,22.1,7.0,4.5,1.2,41.5,.121,0.5,10.5,1986,2
7,7,12.0,John Williams,LSU,8,435,10952,4406,2201,1262,.451,.225,.704,25.2,10.1,5.1,2.9,19.9,.087,1.2,8.8,1986,2
7,7,13.0,Pearl Washington,Syracuse,3,194,4044,1660,370,733,.452,.184,.746,20.8,8.6,1.9,3.8,1.9,.023,-1.7,0.3,1986,2
7,7,14.0,Walter Berry,St. John's,3,205,4863,2882,971,292,.539,.200,.638,23.7,14.1,4.7,1.4,8.2,.081,-1.0,1.2,1986,2
7,7,15.0,Dell Curry,Virginia Tech,16,1083,23549,12670,2617,1909,.457,.402,.843,21.7,11.7,2.4,1.8,41.5,.085,0.9,17.1,1986,2
7,7,16.0,Maurice Martin,Saint Joseph's,2,69,422,204,65,49,.378,.211,.598,6.1,3.0,0.9,0.7,-0.3,-.033,-6.0,-0.4,1986,2
7,7,17.0,Harold Pressley,Villanova,4,299,6802,2702,1339,628,.437,.358,.778,22.7,9.0,4.5,2.1,10.0,.070,0.3,4.0,1986,2
7,7,18.0,Mark Alarie,Duke,5,325,5500,2432,1120,363,.475,.252,.775,16.9,7.5,3.4,1.1,8.4,.073,-2.3,-0.5,1986,2
7,7,19.0,Billy Thompson,Louisville,6,300,6697,2566,1615,514,.505,.154,.674,22.3,8.6,5.4,1.7,9.6,.069,-1.3,1.2,1986,2
7,7,20.0,Buck Johnson,Alabama,7,505,11849,4617,1760,856,.488,.113,.738,23.5,9.1,3.5,1.7,20.8,.084,-1.4,1.7,1986,2
7,7,21.0,Anthony Jones,UNLV,3,164,1704,594,214,119,.393,.306,.740,10.4,3.6,1.3,0.7,0.8,.022,-2.8,-0.3,1986,3
7,7,22.0,Scott Skiles,Michigan State,10,600,16789,6652,1526,3881,.435,.379,.889,28.0,11.1,2.5,6.5,30.4,.087,-0.4,6.7,1986,3
7,7,23.0,Ken Barlow,Notre Dame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,3
7,7,24.0,Arvydas Sabonis,0,7,470,11375,5629,3436,964,.500,.328,.786,24.2,12.0,7.3,2.1,47.3,.200,4.4,18.4,1986,3
2,2,25.0,Mark Price,Georgia Tech,12,722,21560,10989,1848,4863,.472,.402,.904,29.9,15.2,2.6,6.7,71.1,.158,3.7,31.1,1986,3
2,2,26.0,Greg Dreiling,Kansas,10,474,4241,1014,1018,186,.467,.333,.649,8.9,2.1,2.1,0.4,4.0,.045,-5.3,-3.5,1986,3
2,2,27.0,Dennis Rodman,Southeastern Oklahoma State University,14,911,28839,6683,11954,1600,.521,.231,.584,31.7,7.3,13.1,1.8,89.8,.150,0.9,21.0,1986,3
2,2,28.0,Larry Krystkowiak,Montana,9,420,9097,3425,2051,513,.457,.139,.795,21.7,8.2,4.9,1.2,15.6,.082,-2.7,-1.6,1986,3
2,2,29.0,Johnny Newman,Richmond,16,1159,28435,12740,2536,1688,.461,.336,.810,24.5,11.0,2.2,1.5,50.3,.085,-1.6,2.9,1986,3
2,2,30.0,Nate McMillan,NC State,12,796,20462,4733,3222,4893,.443,.343,.650,25.7,5.9,4.0,6.1,50.2,.118,3.3,27.2,1986,3
2,2,31.0,Joe Ward,Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,4
2,2,32.0,Cedric Henderson,Georgia,1,8,16,11,8,0,.500,0,1.000,2.0,1.4,1.0,0.0,0.0,-.015,-8.6,0.0,1986,4
2,2,33.0,Kevin Duckworth,Eastern Illinois University,11,684,17462,8085,3945,598,.468,.208,.736,25.5,11.8,5.8,0.9,24.7,.068,-3.8,-7.6,1986,4
2,2,34.0,Johnny Rogers,"University of California, Irvine",2,69,636,251,104,29,.472,.000,.679,9.2,3.6,1.5,0.4,0.4,.032,-4.8,-0.4,1986,4
2,2,35.0,Milt Wagner,Louisville,2,53,496,215,35,76,.422,.296,.875,9.4,4.1,0.7,1.4,0.4,.039,-4.0,-0.2,1986,4
2,2,36.0,Steve Mitchell,UAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,4
2,2,37.0,Panagiotis Fasoulas,NC State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,4
2,2,38.0,Lemone Lampley,DePaul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,4
2,2,39.0,Rafael Addison,Syracuse,6,379,5697,2186,780,339,.449,.282,.772,15.0,5.8,2.1,0.9,4.9,.041,-3.8,-2.5,1986,4
2,2,40.0,Augusto Binelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,4
2,2,41.0,Otis Smith,Jacksonville University,6,375,7720,3951,1416,690,.455,.251,.762,20.6,10.5,3.8,1.8,12.3,.076,0.2,4.2,1986,5
2,2,42.0,Ron Kellogg,Kansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,5
2,2,43.0,Dave Feitl,Texas-El Paso,5,275,3001,1192,815,125,.433,.000,.751,10.9,4.3,3.0,0.5,1.4,.022,-5.8,-2.9,1986,5
2,2,44.0,David Wingate,Georgetown,15,740,13243,4166,1420,1376,.445,.272,.738,17.9,5.6,1.9,1.9,11.7,.042,-2.4,-1.2,1986,5
2,2,45.0,Keith Smith,Loyola Marymount,1,42,461,138,32,43,.380,.333,.750,11.0,3.3,0.8,1.0,0.0,-.003,-5.5,-0.4,1986,5
2,2,46.0,Jeff Hornacek,Iowa State,14,1077,33964,15659,3646,5281,.496,.403,.877,31.5,14.5,3.4,4.9,108.9,.154,2.9,42.1,1986,5
2,2,47.0,Michael Jackson,Georgetown,3,89,888,188,70,198,.369,.273,.675,10.0,2.1,0.8,2.2,-0.2,-.011,-4.8,-0.6,1986,5
3,3,48.0,Forrest McKenzie,Loyola Marymount,1,6,42,17,7,1,.250,.500,1.000,7.0,2.8,1.2,0.2,-0.2,-.223,-16.8,-0.2,1986,5
3,3,49.0,Juden Smith,Texas-El Paso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,5
3,3,50.0,Kevin Henderson,Cal State Fullerton,2,22,235,65,24,34,.393,.000,.607,10.7,3.0,1.1,1.5,-0.2,-.038,-6.4,-0.3,1986,5
