fips,year,month_name,unemployment_rate,employment_rate
21,2020,March,5.2,94.8
21,2020,April,16.1,83.9
21,2020,May,12.9,87.1
21,2020,June,5.8,94.2
21,2020,July,6.1,93.9
21,2020,August,4.9,95.1
21,2020,September,4.8,95.2
21,2020,October,4.2,95.8
21,2020,November,4.1,95.9
21,2020,December,4.6,95.4
21,2021,January,5.2,94.8
21,2021,February,5.1,94.9
21,2021,March,4.9,95.1
21,2021,April,4.2,95.8
21,2021,May,4.2,95.8
21,2021,June,5.4,94.6
21,2021,July,5.0,95.0
21,2021,August,4.2,95.8
21,2021,September,4.1,95.9
21,2021,October,3.9,96.1
21,2021,November,3.7,96.3
21,2021,December,3.6,96.4
21,2022,January,4.6,95.4
21,2022,February,4.4,95.6
21,2022,March,4.4,95.6
21,2022,April,3.5,96.5
21,2022,May,3.9,96.1
21,2022,June,4.5,95.5
21,2022,July,4.5,95.5
21,2022,August,4.0,96.0
21,2022,September,3.7,96.3
21,2022,October,3.8,96.2
21,2022,November,3.7,96.3
21,2022,December,3.6,96.4
22,2020,January,4.8,95.2
22,2020,February,4.0,96.0
22,2020,March,6.8,93.2
22,2020,April,13.0,87.0
22,2020,May,12.6,87.4
22,2020,June,11.7,88.3
22,2020,July,11.0,89.0
22,2020,August,9.0,91.0
22,2020,September,9.3,90.7
22,2020,October,7.9,92.1
22,2020,November,6.9,93.1
22,2020,December,6.9,93.1
22,2021,January,7.2,92.8
22,2021,February,6.6,93.4
22,2021,March,6.2,93.8
22,2021,April,6.2,93.8
22,2021,May,6.1,93.9
22,2021,June,7.0,93.0
22,2021,July,6.1,93.9
22,2021,August,5.3,94.7
22,2021,September,5.0,95.0
22,2021,October,4.3,95.7
22,2021,November,3.8,96.2
22,2021,December,3.4,96.6
22,2022,January,4.2,95.8
22,2022,February,3.7,96.3
22,2022,March,3.5,96.5
22,2022,April,3.3,96.7
22,2022,May,3.5,96.5
22,2022,June,4.5,95.5
22,2022,July,4.1,95.9
22,2022,August,3.9,96.1
22,2022,September,3.6,96.4
22,2022,October,3.3,96.7
22,2022,November,3.2,96.8
22,2022,December,3.2,96.8
23,2020,January,3.7,96.3
23,2020,February,3.8,96.2
23,2020,March,4.3,95.7
23,2020,April,9.2,90.8
23,2020,May,9.7,90.3
23,2020,June,6.4,93.6
23,2020,July,6.7,93.3
